Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
0,0.216922377,0.315772377,0.92858088,0.6758723,0.996661536,0.280139921,0.308998733,0.545703002,0.449767136,0.48107205,0.156014057,0.748183992,0.743255438,0.543909397,0.423898775,0.265848206,0.421583198,0.33162503,0.523508581,0.798742019,0.587942034,0.36271063,0.360632128,0.382098131,0.951596594,0.20414322,0.69445445,0.736860024,0.019939789,0
0.56789605,0.201731226,0.189445058,0.715853843,0,0.915798651,0.380220768,0.464510063,0.578494262,1,0,0.946907948,0.286480669,0.797064642,1,0.58290101,0.3799479,0.360344196,0.551890228,0.097293556,0.6969934,0.957304393,0.686575319,0.601148909,0,0.831467212,0.009328742,0.6844437,0.761605869,0.374505114,0
0.284389264,0.561428066,0.614444985,0.797244972,0.226631794,0.447510791,0.278494711,0.687430767,0.254334317,0.120056151,0.56731116,0.4372682,0.690700325,0.947885816,0.593493672,0.597857286,0.159142232,0.254860398,0.559446522,0.027395886,0.15922785,0.1640134,0.23307336,0.391007713,0.628352582,0.497200262,0.417002765,0.722699885,0.763123828,0.040766249,0
0.443064938,0.74252435,0.45058016,0.433210476,0.478802733,0.455830899,0.148148048,0.801884261,0.068012657,0.36852581,0.519662672,0.371444769,0.688630782,0.769339406,0.723631279,0.69675943,0.619288071,0.177408414,0.298968822,0.385583915,0.781601591,0.581871326,0.222012297,0.03900633,0.578783255,0.900974181,0.496377362,0.548079677,0.660522917,0.710924612,0
0.260124156,0.092316058,0.379187841,0.695586214,0.507533707,0.881545586,0.006582671,0.408493192,0.632201985,0.432918828,0.234557711,0.183029777,0.750038223,0.892393932,0.278548175,0.288547647,0.758656947,0.556578408,0.594424433,0.300238409,0.878275139,0.586776141,0.253379981,0,0.429850043,1,0.375909812,0.79068065,0.285750186,0.03602359,0
0.686154221,0.466634407,0.331512703,0.498727943,0.24925195,0.699755647,0.171529291,0.527100876,0.282715566,0.70633922,0.445081361,0.074158011,0.507269649,0.388714964,0.64392896,0.691129302,0.768002931,0.002281866,0.622274932,0.360904243,0.178553124,0.761729737,0.739634275,0.453206494,0.646028914,0,0.314970681,0.960430481,0.895136879,0.329449852,0
0.971632889,0.602713161,0.713768877,0.383624848,0.266958258,0.820577458,0.238711547,0.92665491,0.226501716,0.314109158,0.509539049,0.573771496,0.611064486,0.26856178,0.846590227,0.366266633,0.501818091,0.066554049,0.54498264,0.403238692,0.386343352,0.723360698,0.650509164,0.18483875,0.643116886,0.633327063,0.244134178,0.913469518,0.881916494,0.031301551,0
0.515981985,0.940772435,0.503322503,0.299012997,0.448162321,0.678802037,0.857023456,0.562293378,0.509035955,0.502363047,0.588763582,0.779422999,0.793848021,0.323776173,0.772859071,0.532266487,0.347778177,0.37584424,0,0.250286669,0.270365476,0.320719691,0.241797153,0.551726724,0.336150571,0.585736924,0.312706686,0.635242947,0.534861324,0.095966678,0
0.348292861,0.350464679,0,0.774683963,0.40226803,0.639823371,0.016627691,0.184455038,0.30935208,0,1,0.740536252,0.514875788,0.804101122,0.571031147,0.705975264,0.379651473,0.415519607,0.8479941,0.659947556,1,0.900698539,0.653982413,1,0.57887718,0.298019691,0.193954596,0.674373966,0.709167875,0.387186572,0
0.784182338,0.788925453,0.435141398,0.303260587,1,0.533195189,0.431611505,0.844812886,0.201549144,0.152048606,0.867085399,0.622305669,0.65113365,0.284954799,0.814736774,0.082604583,0.75358906,0.111899138,0.38168438,0.106546639,0.749344919,0.782855313,0.300461395,0.134396743,0.587480742,0.715157905,0.212697862,0.558750357,0.625565581,1,0
0.97777372,0.517747111,0.697782499,0.920385645,0.399703799,0.468144837,0.34132242,0.720653522,0.288455678,0.530552117,0.462448462,0.301911917,0.424296175,0.120580255,0.664709474,0.878536484,0.522561596,0.202119596,0.545910296,0.470462889,0.471965169,0.218713462,0.211347105,0.144032748,0.55224569,0.821145149,0.055915394,0.786475277,0.527785235,0.00158776,0
0.875284523,0.939536462,0.429303754,0.693312701,0.561655178,0.241853303,0.821341695,0.250700672,0.578416278,0.843032158,0.538732675,0.528272573,1,0.677233635,0.404409223,0,0.599778933,0.22163106,0.566384352,0.426455009,0.326305428,0.59512324,0.681274861,0.458871789,0.879484322,0.617964406,0.323154065,0.702216264,0.580439527,0.033755361,0
0.897017832,0.993412978,0.270574092,0.712904667,0.313320925,0,0.64319071,0.075532687,0.456519801,0.493613997,0.806255095,0.16473663,0.697507291,0.933633277,0.242062233,0.044979594,0.308651693,0.576790716,0.451508973,0.344268892,0.1942673,0.408093856,0.654065284,0.519481819,1,0.61098891,0.214949406,0.744502664,0.598484028,0.03045612,0
0.518434666,0.669514769,0.698025372,0.249619814,0.30618623,0.825556864,0,1,0.058602483,0.308750422,0.548084181,0.590192846,0.807628889,0.647059285,0.80926558,0.155213751,0.374185957,0.069680277,0.489704053,0.401152875,0.406018932,1,1,0.279967406,0.454970666,0.389954054,0.254829794,1,1,0.071696635,0
0.761000548,0.348065502,0.74929036,0,0.34150771,0.693000499,0.060498078,0.727331883,0.743971013,0.249300211,0.544226077,0.429234588,0.765405007,0.457060294,0.995567894,0.149441362,0.591591851,0.204021329,0.519651756,0.390172372,0.142014885,0.977388869,0.894054549,0.506237245,0.691540471,0.390282911,0.393350727,0.833394803,0.54235088,0.003649786,0
0.444416043,0.48310965,0.763882642,0.750640088,0.502476848,0.509754522,0.146204135,0.719151363,0.211935599,0.374454474,0.582467234,0.470518679,0.569443076,0.535872496,0.56662079,0.809875957,0.619299066,0.349136437,0.437038649,0.45949775,0.437471529,0.264459667,0.162377688,0.347064876,0.70509203,0.484568712,0.242722778,0.668051166,0.849098644,0.01600132,0
0.454080701,0.449992766,0.816749286,0.700260665,0.455283367,0.442149671,0.130293428,0.697551596,0.461301529,0.320348574,0.478436162,0.472748783,0.727313009,0.818010463,0.580621857,0.700453764,0.732873213,0.319005418,0.388598923,0.32009085,0.507765214,0.198979517,0.106745593,0.389535852,0.706688772,0.710355491,0.244617614,0.822242736,0.707712831,0.032518146,0
0.754549327,0.936013267,0.506302211,0.56719094,0.60664919,0.375104253,0.600212408,0.40998906,0.479346723,0.612853732,0.634904363,0.681890325,0.764023943,0.379569974,0.668474458,0.543962774,0.826080788,0.019317924,0.673744222,0.257235104,0.30293183,0.574581301,0.465684038,0.530482024,0.805828225,0.591193398,0.019317232,0.7038014,0.594658848,0.092316892,0
0.077232061,0.458582063,0.588855457,0.955670845,0.703167938,0.319385103,0.866264328,0.814652412,0.338877295,0.806692387,0.404012698,0.468618715,0.119224725,0.799413125,0.751450066,0.061574615,0.083066766,0.793255542,0.261129005,0.546080602,0.781431602,0,0.093408648,0.657467607,0.579079974,0.722747291,0.111927654,0.773260531,0.584507777,0.529136424,0
0.854640618,0.428998766,0.599067705,0.890852103,0.26323476,0.635985582,0.741081146,0.600262583,0.594537876,0.53534777,0.270870642,0.332595018,0.558602993,0.249111165,0.630888728,0.715110558,0.407477511,0.353243584,0.158749907,0,0.268856564,0.775954028,0.719031697,0.054178631,0.212850733,0.898303782,0.309031284,0.706581199,0.656622818,0.00158776,0
0.45865133,0.836600313,0.54515288,0.599853113,0.513179721,0.369854493,0.221465603,0.58721208,0.219861021,0.186536829,0.733152883,0.487221624,0.610403676,0.528094876,0.72925261,0.722720267,0,0.372673218,0.598101415,0.050189775,0.091158494,0.113666234,0.17216512,0.364481959,0.709631094,0.888418612,0.135859004,0.68919613,0.640273173,0.070253217,0
0.405976508,0.798103983,0.573993452,0.594945767,0.643306603,0.427884655,0.267878069,0.657099375,0.282077759,0.465352166,0.564238798,0.425930805,0.552229993,0.071530552,0.766388437,0.609971601,0.387846313,0.390699054,0.222809149,0.224909743,0.318559558,0.494013689,0.37066939,0.257782798,0.720203967,0.942308535,0.159997551,0.664412847,0.63792541,0.164941438,0
0.881912239,1,0.443497631,0.35251422,0.322279185,0.338732847,0.071271073,0.487878318,0.220197501,0.321971374,0.801062224,0.721597597,0.401651808,0,0.771536043,0.483551715,0.943920154,0.299301028,0.281883839,0.478282792,0.314909249,0.930063122,0.79356421,0.347833431,0.614839608,0.757585417,0.237710093,0.625961068,0.531683826,0.03045612,0
0.693268821,0.328874753,0.788786042,0.460415062,0.080544699,0.564795392,0.20167175,0.690107529,0.723141841,0.415795944,0.357206762,0.3907588,0.648795832,0.233091754,0.853306832,0.279289599,0.905299003,0,0.496430883,0.312729839,0.249064725,0.193423282,0,0.306669729,0.222212672,0.754331512,0.331789631,0.631591976,0.678608638,0.007773837,0
0.321940235,0.825407109,0.618043761,0.607510188,0.600107941,0.436353642,0.15346245,0.660518831,0.19004119,0.414353025,0.572740889,0.420850646,0.650584999,0.530747433,0.725972532,0.733496946,0.612762465,0.165207933,0.410357959,0.272203983,0.358835115,0.498050264,0.382739079,0.256380785,0.720659702,0.952468948,0.140455539,0.667968043,0.64017311,0.077779611,0
0.78180269,0.629817831,0.693517259,0.590408785,0.531584392,0.514325365,0.506691941,0.78639396,0.279317355,0.374174469,0.569604131,0.71410034,0.651997156,0.232338259,0.804818238,0.684693569,0.134720369,0.450083241,0.608321181,1,0.476262553,0.410459785,0.356525694,0.381744676,0.841025837,0.489824185,0.111425689,0.761433057,0.800038236,0.150857803,0
0.88802264,0.451015148,0.619775262,0.451966983,0.550532946,0.900141461,0.456786089,0.876532596,0.233460846,0.259368207,0.629180094,0.402940566,0.726374543,0.719613794,0.730017611,0.306950299,0.408102665,0.108981442,0.597490964,0.653337196,0.487799653,0.532088115,0.561100451,0.354978614,0.103813036,0.83453729,0.147396076,0.89476414,0.870728086,0.166219894,0
0.430083379,0.768087143,0.260924078,0.823194129,0.436864654,0.027281088,0.739637028,0.216677517,0.575578296,0.627336684,0.638140909,0.457641493,0.5311494,0.053304197,0.434128563,0.026636934,0.872876034,0.486523894,0.358704656,0.602745022,0.610054121,0.859974717,0.71153799,0.0880431,0.608087807,0.864724132,0.246488662,0.696989886,0.664075561,0.444923293,0
0.479934271,0.505362135,1,0.017207363,0.582158619,0.742883808,0.31353505,0.652343388,0.672497308,0.411178463,0.555701667,0.868492713,0.665819911,0.703310673,0,0.676775718,0.956097066,1,1,0.325956984,0.701788378,0.209529717,0.261888893,0.370640156,0.00893371,0.681450272,0.145453899,0.845788196,0.49184363,0.001360937,0
0.454567586,0.48367186,0.638492075,0.858459668,0.429182135,0.547599743,0.209385431,0.699323816,0.319879272,0.445726394,0.395366439,0.232395073,0.610533482,0.38552711,0.600887833,0.286731257,0.539099294,0.240112528,0.33732517,0.280606395,0.349443771,0.473560872,0.39299684,0.201198055,0.716064754,0.762177685,0.293311782,0.698617572,0.730941521,0.007320191,0
0.177402471,0.549146431,0.537799561,0.695762911,0.223087282,0.47273176,0.601530648,0.90248006,0,0.14123594,0.729513635,0.612350893,0.455659326,0.69737204,0.537475792,0.491885294,1,0.092425611,0.346053555,0.630201862,0.587592948,0.629901037,0.627232656,0.094300387,0.278323983,0.753367962,0.176312429,0.508091602,0.188116636,0.463481524,0
0.4289392,0.543181144,0.642758903,0.827751771,0.339403781,0.505890141,0.370492785,0.639559576,0.414352931,0.347441745,0.475444405,0.87204758,0.720983611,0.421065017,0.717430608,0.649740027,0.655256843,0.196530411,0.412056787,0.36897979,0.383453939,0.530665524,0.403252378,0.37594136,0.604820813,0.427992013,0.430085548,0.717479218,0.756794261,0,0
0.306311241,0.514621615,0.756939931,0.704287931,0.385254988,0.647456108,0.565094341,0.74253419,0.378605822,0.382444959,0.559716206,0.190154635,0.573085681,0.72912058,0.634462288,0.789581783,0.679532035,0.099253201,0.331893621,0.374048685,0.550968196,0.121774885,0.081077035,0.235843307,0.129398595,0.722086622,0.27364783,0.924255277,0.779621506,0.019568624,0
0.033522001,0.834346631,0.612551488,0.67494588,0.624714493,0.440601601,0.356555314,0.546983596,0.250728325,0.49543728,0.656390334,0.707219356,0,1,0.947111722,0.499266163,0.863549291,0.45823888,0.136175836,0.11417138,0.355144743,0.256911375,0.208419472,0.421854824,0.643502394,0.654486732,1,0.495199561,0.581432995,0.022888486,0
0.526072668,0.185608902,0.119485988,0.965005962,0.504535975,1,0.966392264,0,1,0.720208184,0.412030627,0.432501153,0.818643813,0.392365809,0.466008272,0.220063147,0.325911154,0.449787495,0.377039468,0.364326571,0.750549443,0.910015097,0.70378319,0.538337916,0.284308737,0.642800989,0.382709046,0.745202709,0.797822694,0.061386506,0
0.991698618,0.564965774,0.720690419,0.745206905,0.39811335,0.578975186,0.203685012,0.822252304,0.223200594,0.317231887,0.424778973,0.32777636,0.600489712,0.50314363,0.68571063,0.550755658,0.490979841,0.268746809,0.234157211,0.443444133,0.376711877,0.135058863,0.031780466,0.178212183,0.582846379,0.896834235,0.329771759,0.58575255,0.537923259,0.003608545,0
0.40233096,0.84016028,0.59164871,0.59696171,0.533850613,0.481668226,0.382765149,0.614852532,0.236999827,0.489522947,0.525644576,0.212773404,0.770898826,0.846262382,0.587086704,0.460389037,0.570239146,0.192376229,0.289804683,0.445937859,0.402780987,0.175624741,0.139234535,0.264946775,0.451435662,0.925495999,0.305596779,0.650255466,0.622538307,0.043488123,0
0.378631854,0.280422194,0.684215182,0.615414384,0.457163064,0.496610661,0.230402385,0.591707669,0.505980376,0.331971462,0.603818483,0.757528141,0.861490503,0.771416175,0.724972619,0.543848407,0.801969727,0.090618546,0.497057004,0.437964379,0,0.263919639,0.235949836,0.806283733,0.584858356,0.588693053,0.209100192,0.03661127,0.372741294,0.00321676,0
0.334185381,0.824332478,0.566797629,0.611067657,0.409865562,0.468029011,0.469914592,0.557241697,0.398002118,0.408596132,0.548755241,1,0.839281585,0.493672359,0.753766061,0.719104642,0.54173239,0.300953732,0.146419365,0.293937979,0.325757705,0.32048581,0.225103153,0.44899852,0.506156353,0.723643833,0.451525222,0.624565027,0.59954416,0.00158776,0
